person,block,trial,id,found,class,x,y
2,2,2,30,30,0,0.9450179905635768,0.3369566958803763
2,1,2,31,31,0,0.8724442111298641,0.8434801392046558
2,2,2,31,31,0,0.9368340956437762,0.46441525955211943
2,1,2,32,32,1,0.8859913944537182,0.9085870467264889
2,2,2,32,32,1,0.9565511154300381,0.5434145872128233
2,1,2,33,33,1,0.9685449549557291,0.9226968651298336
2,2,2,33,33,1,0.863349634812539,0.6089013510093327
2,1,2,34,34,1,0.5231720219105866,0.6908631242529375
2,2,2,34,34,1,0.966493103103488,0.716595241864931
2,1,2,35,35,1,0.5615531618942954,0.8523081317118768
2,2,2,35,35,1,0.8832348017584511,0.8017825875724457
2,1,2,36,36,0,0.652793592360259,0.9591438071473805
2,2,2,36,36,1,0.9552627098413241,0.9236590508705039
2,1,2,37,37,0,0.43820660559805436,0.8313659974845069
2,2,2,37,37,1,0.7747154364944798,0.8290310335409551
2,1,2,38,38,0,0.23788361235382838,0.8480272070005903
2,2,2,38,38,1,0.7335744979747202,0.9302991450458075
2,1,2,39,39,1,0.1472785985730797,0.9642388748300972
2,2,2,39,39,0,0.6382178831817383,0.430948920659358
2,1,2,40,40,0,0.0400854864736156,0.782433532059726
2,2,2,40,40,0,0.6519803691421777,0.9219628236374846
2,1,3,1,1,1,0.1162207029413216,0.09207994761892245
2,2,3,1,1,0,0.04048384712209719,0.03033442135043099
2,1,3,2,2,0,0.1451629238001016,0.14268036448380156
2,2,3,2,2,0,0.13352737344376842,0.1764314260729925
2,1,3,3,3,1,0.2308326804305691,0.140747966568868
2,2,3,3,3,0,0.24911357855730396,0.09189020245545731
2,1,3,4,4,1,0.2598937398951556,0.06443012367286831
2,2,3,4,4,1,0.34390008380398573,0.1563822250013297
2,1,3,5,5,0,0.3556079861312497,0.037196547543732916
2,2,3,5,5,1,0.522555444121589,0.07306627580124486
2,1,3,6,6,0,0.4460040804213036,0.21198294131142734
2,2,3,6,6,0,0.44680918483662563,0.19554438167431726
2,1,3,7,7,1,0.658308702300183,0.07549186920321888
2,2,3,7,7,0,0.637549174534627,0.20851360058735932
2,1,3,8,8,0,0.8306470604469257,0.011549791563048238
2,2,3,8,8,0,0.6754988027044428,0.08011692572620678
2,1,3,9,9,0,0.9455911208042219,0.39380623724291386
2,2,3,9,9,0,0.7297650182326687,0.06663430787253348
2,1,3,10,10,1,0.7270862307278353,0.3400221630690938
2,2,3,10,10,0,0.8719573880465736,0.08076468082846723
2,1,3,11,11,0,0.639197741760304,0.3005055507117583
2,2,3,11,11,0,0.8614392531815298,0.1550724282257709
2,1,3,12,12,0,0.6402860913677048,0.4480918695324542
2,2,3,12,12,1,0.9815951498168635,0.21799185588033998
2,1,3,13,13,1,0.4383344957213477,0.34591231253055155
2,2,3,13,13,0,0.983394370480305,0.3442956085475596
2,1,3,14,14,0,0.21769961033721985,0.40276858213629607
2,2,3,14,14,0,0.74853571598072155,0.28866862231896634
2,1,3,15,15,1,0.16687647305860415,0.28671973192241373
2,2,3,15,15,0,0.6584285853567283,0.3302763078637756
2,1,3,16,16,0,0.031192637737510673,0.32536743303577426
2,2,3,16,16,1,0.743110485546799,0.44655625109663294
2,1,3,17,17,1,0.11352317417677643,0.43548751634651267
2,2,3,17,17,0,0.7831373286727576,0.5204465428355118
2,1,3,18,18,1,0.05721604923440262,0.47534185977701526
2,2,3,18,18,1,0.8590109944181121,0.6032005051365327
2,1,3,19,19,0,0.16528236163568116,0.6068736133183759
2,2,3,19,19,1,0.5291128292592958,0.35213883138011526
2,1,3,20,20,1,0.25713119374315907,0.5946700788638308
2,2,3,20,20,1,0.4596579485735324,0.4587845163459115
2,1,3,21,21,1,0.32427474119367766,0.5329724167634613
2,2,3,21,21,1,0.5806121810594648,0.559631323892708
2,1,3,22,22,0,0.46711042844417255,0.5959556160786194
2,2,3,22,22,1,0.24172739648133862,0.3391861488758149
2,1,3,23,23,1,0.5582314472937748,0.579041352482051
2,2,3,23,23,0,0.24112556327291218,0.4623815109351199
2,1,3,24,24,0,0.7319654282141271,0.5836116574282002
2,2,3,24,24,1,0.017503666956491686,0.5586580231685897
2,1,3,25,25,0,0.8420654260115519,0.5574787266728948
2,2,3,25,25,1,0.22584345262114594,0.5828309460769228
2,1,3,26,26,0,0.9887266286736042,0.5935895549367546
2,2,3,26,26,0,0.3351579961166255,0.6037275829684607
2,1,3,27,27,1,0.9421659742517017,0.6733766050435593
2,2,3,27,27,0,0.3240444229315679,0.6924964233670373
2,1,3,28,28,0,0.7524134572578401,0.7070409961651537
2,2,3,28,28,1,0.26540188692895894,0.7717605256269245
2,1,3,29,29,0,0.6799956479475975,0.8181532363601844
2,2,3,29,29,1,0.34641144536074003,0.8150005964653934
2,1,3,30,30,1,0.5798167612039178,0.8074720203849263
2,2,3,30,30,1,0.04161774545620333,0.7983570054148337
2,1,3,31,31,1,0.4392371709925055,0.8417356553122104
2,2,3,31,31,0,0.2495358430782859,0.9451863607632179
2,1,3,32,32,1,0.24381733684926293,0.82850204083037
2,2,3,32,32,1,0.3369161172604565,0.9477524754485549
2,1,3,33,33,0,0.1227462172894726,0.8526242978476167
2,2,3,33,33,0,0.43448079577949494,0.8529096219905897
2,1,3,34,34,0,0.044994541987200834,0.8328834446910423
2,2,3,34,34,1,0.525348708352716,0.9625463300145649
2,1,3,35,35,1,0.044399236040831624,0.7089078352064866
2,2,3,35,35,1,0.5360718392559375,0.7290664926347818
2,1,3,36,36,0,0.32505145345406855,0.9527746780007295
2,2,3,36,36,0,0.5737643257214615,0.7966149654296912
2,1,3,37,37,0,0.4486706910496194,0.9556061723793968
2,2,3,37,37,1,0.7462479066003067,0.9281833596637543
2,1,3,38,38,1,0.7720008796209862,0.9653990499626091
2,2,3,38,38,1,0.7530452313580841,0.7105296123471215
2,1,3,39,39,1,0.8447224901421492,0.9105658833628563
2,2,3,39,39,1,0.9344816102751367,0.9185000317656902
2,1,3,40,40,1,0.8848286378099787,0.8353149681349485
2,2,3,40,40,0,0.8750781763967252,0.8472071573321247
2,1,4,1,1,0,0.015455263046613333,0.09754700386473257
2,2,4,1,1,0,0.057255359539609356,0.08073398893679233
2,1,4,2,2,0,0.24067117944126734,0.21496426697237192
2,2,4,2,2,0,0.23173020804278427,0.03489068922036851
2,1,4,3,3,0,0.24187636014706976,0.3266344590074897
2,2,4,3,3,0,0.3293446103877205,0.0852172173601178
2,1,4,4,4,0,0.32879333297015695,0.30854601130307757
2,2,4,4,4,1,0.24951856449829773,0.1484718118937171
2,1,4,5,5,1,0.4325178174988422,0.17271481469155803
2,2,4,5,5,1,0.3658387961807203,0.1829103570773505
2,1,4,6,6,1,0.4595183286433024,0.09266083266294844
2,2,4,6,6,1,0.6442134849825248,0.15011425032396375
2,1,4,7,7,0,0.6537190532739654,0.015130493180237327
2,2,4,7,7,0,0.7495698117857618,0.04212721089973057
2,1,4,8,8,1,0.7493358940212,0.07270978083420733
2,2,4,8,8,1,0.8795607242560011,0.01
2,1,4,9,9,0,0.8647647504708251,0.04839115622514828
2,2,4,9,9,1,0.9428090696117581,0.19531165659245112
2,1,4,10,10,0,0.7361929180177345,0.16046598207651988
2,2,4,10,10,0,0.8822417108390828,0.19847490706408652
2,1,4,11,11,0,0.6756364161601988,0.21742224187459797
2,2,4,11,11,0,0.8770148780919567,0.31207049007642573
2,1,4,12,12,1,0.9499592779994946,0.31835553477345746
2,2,4,12,12,0,0.781214370191285,0.2850230011562247
2,1,4,13,13,1,0.9461247205286715,0.46910266817145835
2,2,4,13,13,0,0.9613077176556976,0.4226501636144314
2,1,4,14,14,1,0.8517204134658732,0.41554872097344053
2,2,4,14,14,1,0.8711437017824892,0.4392062640250701
2,1,4,15,15,0,0.7500683362900649,0.3333652720236028
2,2,4,15,15,1,0.8694149116393658,0.5523540206023569
2,1,4,16,16,1,0.741867657506037,0.43559924455772403
2,2,4,16,16,0,0.8798737173337262,0.6471287722656535
2,1,4,17,17,1,0.8543415986233321,0.5387715622702992
2,2,4,17,17,0,0.9706596130380584,0.5846926156437469
2,1,4,18,18,0,0.9795284598939251,0.6470956565182034
2,2,4,18,18,0,0.7279625192918647,0.4496223602017559
2,1,4,19,19,1,0.5351030774376095,0.5354439675938168
2,2,4,19,19,1,0.42870065022158527,0.27778048397439997
2,1,4,20,20,0,0.348269387933893,0.5238973728605628
2,2,4,20,20,1,0.4327705799127049,0.467541344005607
2,1,4,21,21,1,0.35307182328681985,0.4745774755555678
2,2,4,21,21,1,0.5385351086336218,0.5375747706738713
2,1,4,22,22,1,0.2396799239896183,0.41503125701365867
